EnsemblGeneID	EnsemblTranscriptID	EnsemblProteinID	Adrenal_iBAQ	Appendices_iBAQ	Brain_iBAQ	Colon_iBAQ	Duodenum_iBAQ	Endometrium_iBAQ	Esophagus_iBAQ	Fallopiantube_iBAQ	Fat_iBAQ	Gallbladder_iBAQ	Heart_iBAQ	Kidney_iBAQ	Liver_iBAQ	Lung_iBAQ	Lymphnode_iBAQ	Ovary_iBAQ	Pancreas_iBAQ	Placenta_iBAQ	Prostate_iBAQ	Rectum_iBAQ	Salivarygland_iBAQ	Smallintestine_iBAQ	Smoothmuscle_iBAQ	Spleen_iBAQ	Stomach_iBAQ	Testis_iBAQ	Thyroid_iBAQ	Tonsil_iBAQ	Urinarybladder_iBAQ
ENSG00000000003	ENST00000614008	ENSP00000482894	8260900	67666	17739000	9354400	1.93e+08	2810000	0	25651000	0	25123000	0	20821000	61739000	11116000	3099800	606640	0	12509000	88232000	6871200	538040000	22607000	898530	0	17239000	106750000	31750000	0	5501000
ENSG00000000419	ENST00000371588	ENSP00000360644	131600000	4719200	103870000	32783000	309230000	74674000	84736000	74655000	41963000	88586000	140150000	65443000	120210000	252560000	53504000	47229000	666270000	161240000	44232000	98918000	178140000	167670000	11468000	49580000	48930000	118360000	223840000	93444000	21718000
ENSG00000000457	ENST00000367771	ENSP00000356745	3367300	447890	2302800	649740	5848400	267170	1936900	726600	766220	2627500	186210	807300	5044200	5853200	554770	0	3919500	5286100	446440	2174000	12968000	4885300	37127	603420	2142000	355600	1142800	4553600	509610
ENSG00000000460	ENST00000359326	ENSP00000352276	0	0	2727000	0	154210	0	0	0	0	0	0	0	0	558040	0	358890	0	125430	0	95320	0	0	0	0	0	982280	0	43033	0
ENSG00000000938	ENST00000399173	ENSP00000382126	1862100	18386000	0	21436000	672680	60819	2837000	3832600	21608000	1964400	82669	129370	368940	16842000	6929300	1203100	2629200	2381400	1294900	25844000	116670	5613400	176800	23104000	3133500	438990	569790	33455000	6050500
ENSG00000000971	ENST00000367429	ENSP00000356399	809080000	263080000	166300000	368650000	892990000	298960000	1.665e+09	122020000	3842500000	2831500000	607240000	466870000	408970000	403890000	356380000	1.001e+09	130370000	1142500000	177990000	724980000	296180000	434080000	356830000	210490000	402180000	614450000	230290000	46063000	270190000
ENSG00000001036	ENST00000002165	ENSP00000002165	26874000	7583100	8605100	5519900	58195000	3110900	3430600	6614400	8220200	27076000	6473300	3506500	20879000	11603000	3519800	5292400	21503000	64681000	7455500	10642000	4094900	19927000	2036900	1867700	7482600	12837000	72983000	5568100	2002000
ENSG00000001084	ENST00000229416	ENSP00000229416	155270000	16213000	615630000	57790000	416720000	98242000	222110000	165510000	83139000	180960000	98287000	62442000	647210000	281730000	51281000	112660000	213360000	241520000	31370000	394620000	90308000	206480000	26821000	210720000	70876000	137350000	53106000	65506000	64901000
ENSG00000001084	ENST00000514933	ENSP00000423615	6672500	0	0	0	38058000	0	0	0	0	0	0	0	0	1776600	1889000	0	0	0	2879400	0	0	0	0	0	4263200	0	0	0	910780
ENSG00000001167	ENST00000353205	ENSP00000229418	12195000	0	32590000	4892600	59428000	30287000	0	22011000	1727300	6157000	0	0	21390000	38002000	71238000	42306000	1738400	7540600	4661200	29135000	0	0	9131900	0	3017800	38449000	20997000	125810000	1312900
ENSG00000001460	ENST00000435187	ENSP00000392225	0	0	0	0	0	0	0	75908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001461	ENST00000003912	ENSP00000003912	0	0	1081300	0	0	0	0	0	0	0	1881000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001497	ENST00000374811	ENSP00000363944	5451600	1082900	5340400	2168900	18554000	11011000	5212900	15427000	1663700	7586500	875400	402580	5985600	22310000	12218000	13132000	5236500	34349000	1401300	4561600	3914000	10948000	1612500	6072100	1667500	29785000	5986700	14891000	1671200
ENSG00000001561	ENST00000321037	ENSP00000318066	11323000	3566600	73652000	2410000	24738000	1188600	9191800	7967600	6377300	24524000	5933000	12859000	3259300	23190000	3720400	9511900	21786000	2127700	2715500	5445900	8619700	15847000	1133100	41357000	7890600	19261000	8123300	41712000	16753000
ENSG00000001617	ENST00000434342	ENSP00000409859	5644100	0	269170	0	1107100	199110	61679	1630500	2657800	442090	409140	177370	0	1764400	0	224550	0	4904300	651190	0	0	2164800	59667	0	345360	0	1994900	252770	0
ENSG00000001626	ENST00000003084	ENSP00000003084	0	7319.8	337590	0	1186700	398890	0	990050	10914	994030	939070	40295	17704	24475	0	115980	32714000	0	0	26452	6888400	296570	0	593170	0	10383	1461200	145300	90954
ENSG00000001629	ENST00000265742	ENSP00000265742	4682100	297580	31197000	1079500	10560000	3648200	1219100	2310300	1141300	6057900	4632600	8610600	5394700	7107400	1045900	2111300	2745000	4199200	1645000	3306100	2570300	23750000	1246500	3099700	3734200	8664400	1160300	1537500	982140
