logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10,logit_11,logit_12,logit_13,logit_14,logit_15,logit_16,logit_17,logit_18,logit_19,logit_20,logit_21,logit_22,logit_23,logit_24,logit_25,logit_26,logit_27,logit_28,logit_29,logit_30,logit_31,logit_32,logit_33,logit_34,logit_35,logit_36,logit_37,logit_38,logit_39,logit_40,logit_41,logit_42,logit_43,logit_44,logit_45,logit_46,logit_47,logit_48,logit_49,logit_50,logit_51,logit_52,logit_53,logit_54,logit_55,logit_56,logit_57,logit_58,logit_59,logit_60,logit_61,logit_62,logit_63,logit_64,logit_65,logit_66,logit_67,logit_68,logit_69,logit_70,logit_71,logit_72,logit_73,logit_74,logit_75,logit_76,logit_77,logit_78,logit_79,logit_80,logit_81,logit_82,logit_83,logit_84,logit_85,logit_86,logit_87,logit_88,logit_89,logit_90,logit_91,logit_92,logit_93,logit_94,logit_95,logit_96,logit_97,logit_98,logit_99,EnsemblGeneID
-0.08963475,0.0008184053,0.11338557,0.107701056,-0.29815644,0.005452551,0.24656749,0.06849906,0.03851444,-0.13751057,0.06546846,-0.157498,-0.08455307,0.013236072,0.17656791,0.16826326,0.24637608,0.12330645,-0.0053263307,0.01930275,-0.17519917,-0.13698454,-0.28574175,0.10795996,0.112127446,0.11808365,-0.29784465,0.21874934,-0.05979556,-0.14584689,0.038805246,-0.072580226,-0.1208504,-0.092024155,0.058972847,-0.017777517,0.027268913,0.021356625,-0.06910102,0.18730766,0.03933484,0.13351063,-0.16844575,-0.051647812,0.35353225,0.15275866,-0.19715127,0.2939504,0.33808678,-0.029557945,0.15568951,0.18237609,0.11973995,0.045820683,-0.18847127,-0.1473481,0.084513426,-0.17966627,0.084625095,-0.12462252,-0.20058405,0.015827097,0.10407096,-0.19457218,0.031093238,-0.025188643,-0.18190667,0.070454285,-0.07539052,0.08939589,-0.045516253,0.054154232,-0.035623305,0.10060043,-0.16540737,0.07390156,-0.20948121,-0.19216233,0.1698154,-0.123841465,0.19944334,0.102617264,0.009262713,0.0074232593,0.057194836,0.2642705,-0.06042158,0.06713122,-0.090516716,-0.12420639,0.032124206,0.17988461,-0.14673716,-0.08467171,0.2958901,-0.24407661,0.049437642,0.06633411,0.088857695,-0.165291,ENSG00000121410
-0.036732733,0.03111644,0.11080005,0.09964478,-0.3037409,-0.0123060495,0.25771704,0.05824126,0.006144762,-0.152813,0.081855655,-0.15958594,-0.090581305,0.01875785,0.22249268,0.195471,0.26573855,0.13178289,-0.020201499,0.04178798,-0.16394831,-0.19933535,-0.28043506,0.08975324,0.098917805,0.1881778,-0.261419,0.15930416,-0.033015236,-0.17437106,0.005728729,-0.06704213,-0.049941115,-0.122711524,0.10803349,0.02282668,0.03167072,-0.0034482544,-0.089801714,0.15469709,0.04194153,0.12515679,-0.12927452,-0.06684518,0.37073004,0.11959067,-0.1868807,0.29732665,0.36342397,0.01558239,0.14765215,0.20544733,0.12711611,0.058946826,-0.17785501,-0.12940417,0.09131527,-0.19646636,0.1116527,-0.15275317,-0.21623679,0.008266628,0.104761295,-0.1821737,0.033333894,-0.07112786,-0.14303306,0.06115088,-0.11053838,0.06623285,-0.07288174,0.08861585,-0.053716116,0.042400554,-0.16062017,0.058173437,-0.21586275,-0.17017843,0.21023619,-0.13797025,0.20325363,0.13497287,0.02076842,-0.036469884,0.034860197,0.2738464,-0.0501251,0.07464807,-0.071701676,-0.15429944,0.03531093,0.20058544,-0.16333653,-0.051007714,0.2901133,-0.25130785,0.037953906,0.09675114,0.10765089,-0.18159702,ENSG00000148584
-0.03234173,-0.0046598054,0.12811814,0.09770012,-0.2877253,-0.020464174,0.21890996,0.06792577,0.04523453,-0.12335366,0.06685196,-0.17077719,-0.07962303,0.021943135,0.19695044,0.165311,0.25840706,0.12939097,-0.036425184,0.035406522,-0.15863764,-0.17871168,-0.2912998,0.1287714,0.13021079,0.17080857,-0.2672295,0.19782242,-0.045255277,-0.12006234,0.02192866,-0.08067447,-0.09127356,-0.10331842,0.098664686,0.021680754,0.011033054,0.024026986,-0.11328985,0.16931827,0.04218133,0.10831221,-0.12557755,-0.07076214,0.370859,0.11611216,-0.19189996,0.30317318,0.3629641,0.0006379597,0.14856994,0.21743932,0.14260903,0.061496496,-0.18286903,-0.11458341,0.0986496,-0.20753413,0.07388073,-0.16359381,-0.19450969,-0.007561095,0.12986375,-0.20541494,0.041533098,-0.065079734,-0.14850576,0.06942967,-0.08160003,0.066886276,-0.09768382,0.055860855,-0.050539453,0.07201148,-0.13102284,0.07023098,-0.20510395,-0.18881641,0.19477798,-0.13995,0.1897346,0.13695884,-0.004039351,0.0018538348,0.059236117,0.2721982,-0.056966648,0.039552532,-0.06896149,-0.15993634,0.013166994,0.18711123,-0.14800549,-0.09199618,0.26439258,-0.27246207,0.051207755,0.07920858,0.11756621,-0.19573209,ENSG00000175899
-0.038355503,-0.0010482222,0.12734693,0.10235236,-0.29729018,-0.021560043,0.218038,0.07347596,0.052388035,-0.119556785,0.06754202,-0.16967514,-0.071368985,0.024291318,0.19887742,0.15617608,0.2637169,0.1317389,-0.03489556,0.04048474,-0.1595827,-0.16767284,-0.28381714,0.13525094,0.1258151,0.1752693,-0.26759613,0.20341806,-0.046173185,-0.1324156,0.024965506,-0.07719071,-0.09318239,-0.10705144,0.09363459,0.024441125,0.00447065,0.025310697,-0.10477416,0.18087922,0.037826795,0.11463049,-0.12478822,-0.06366455,0.36535728,0.12280588,-0.19606024,0.3000078,0.3566676,0.0041188216,0.15383154,0.20724149,0.13646172,0.059714966,-0.18093845,-0.12399164,0.1019769,-0.20091245,0.06911217,-0.16531417,-0.19075522,-0.007724695,0.13688602,-0.19917065,0.042648174,-0.06487969,-0.14993796,0.07200802,-0.08132516,0.078064784,-0.10310121,0.0513658,-0.047016986,0.07244727,-0.1357489,0.07581932,-0.19857997,-0.18962687,0.19302106,-0.1284889,0.19068886,0.13375986,0.005096756,0.013085913,0.05747412,0.26830688,-0.054556355,0.037938707,-0.06879112,-0.15413296,0.016805999,0.18366665,-0.14734857,-0.08872263,0.25956115,-0.2853148,0.042412873,0.08757988,0.10911747,-0.1976192,ENSG00000166535
-0.050582647,-0.0038346127,0.12499921,0.10160748,-0.2924224,0.026999764,0.23730075,0.06097007,0.022819225,-0.12877141,0.060683586,-0.1762602,-0.10036407,0.035798237,0.19976553,0.19322924,0.24756995,0.13073951,0.0010220949,0.006664701,-0.17289644,-0.18696666,-0.2842043,0.11219297,0.11541014,0.13823655,-0.27551842,0.1777425,-0.052310232,-0.13110521,0.04170509,-0.07688958,-0.0482539,-0.109124765,0.103435725,0.017444827,0.012293629,0.019380286,-0.104456805,0.17686842,0.053583443,0.12855297,-0.16163737,-0.09687278,0.34498438,0.13478822,-0.17772056,0.27810138,0.34835202,-0.00089036487,0.13452624,0.211437,0.13386936,0.02980797,-0.16454752,-0.13113213,0.08005221,-0.19001572,0.08813925,-0.15218836,-0.20270488,0.0026272014,0.098268166,-0.2209185,0.053337168,-0.045402803,-0.16378567,0.069634885,-0.0839905,0.0758289,-0.041199446,0.0728903,-0.03859419,0.09387331,-0.15891312,0.057271164,-0.1980576,-0.1883235,0.19940129,-0.11020875,0.19007513,0.12007393,0.017836135,-0.021627678,0.05546599,0.26429567,-0.039963502,0.073004425,-0.06283726,-0.15350571,0.028183052,0.17367606,-0.16278419,-0.07651925,0.30519032,-0.26423037,0.06728178,0.08154218,0.087199494,-0.184589,ENSG00000128274
-0.046108782,0.0040817633,0.12590435,0.118635274,-0.3056744,0.006632652,0.22958696,0.07758664,0.00901451,-0.121937275,0.04990105,-0.1676441,-0.0798763,0.034660637,0.19952898,0.18785012,0.24317633,0.13414273,-0.0071720295,0.04280682,-0.16701859,-0.19755329,-0.2998094,0.102842465,0.115822256,0.1372867,-0.26348326,0.1824748,-0.049523104,-0.1379111,0.04000295,-0.07378516,-0.05948099,-0.09930537,0.09127702,0.009618811,0.00566978,0.0005454244,-0.10268036,0.15139091,0.05121547,0.113591954,-0.16534439,-0.0962529,0.36043662,0.14088216,-0.17713973,0.25731868,0.36998972,-0.00336916,0.14163798,0.18859798,0.12915379,0.02494008,-0.18031341,-0.14186141,0.09559046,-0.17386977,0.09748326,-0.14284112,-0.21386796,0.020051412,0.11192331,-0.21372391,0.046180524,-0.05823846,-0.15170802,0.07495482,-0.09254225,0.07685933,-0.040799633,0.078317046,-0.03530009,0.108509436,-0.17175716,0.056890383,-0.18810363,-0.17785007,0.20318402,-0.10608012,0.18941288,0.11968149,0.042675037,-0.012756959,0.051368684,0.280248,-0.0059936047,0.05914617,-0.06286925,-0.1615731,0.032134283,0.16743416,-0.1448434,-0.073477864,0.3004279,-0.26645306,0.05054585,0.10332962,0.08492546,-0.17615184,ENSG00000118017
-0.057877682,0.018621307,0.10632022,0.08713427,-0.28101695,0.02446796,0.24962232,0.06129007,0.022445932,-0.15303753,0.065564595,-0.1517528,-0.09630689,0.03450914,0.19098331,0.18458627,0.26012236,0.13355264,-0.0019643102,0.006673701,-0.17156339,-0.19413348,-0.275838,0.09022138,0.09736273,0.16166924,-0.26040903,0.17389245,-0.07177782,-0.16044939,0.052714434,-0.087232426,-0.04712853,-0.107323796,0.098975986,0.020381482,0.014380645,0.0017054165,-0.090346314,0.18027684,0.041541055,0.12355979,-0.14301014,-0.10061951,0.33697125,0.12944052,-0.18074507,0.28268084,0.31429684,0.013490914,0.13696921,0.21564338,0.117892474,0.062185705,-0.17130549,-0.13524763,0.07377636,-0.14966059,0.08770643,-0.18181695,-0.20864137,0.025265992,0.10776353,-0.2139881,0.029388562,-0.045077384,-0.15212603,0.063357316,-0.09563955,0.05697598,-0.03828619,0.08563093,-0.053318404,0.045749098,-0.15754423,0.044693805,-0.1816254,-0.17398329,0.19526152,-0.122590005,0.19727483,0.12079728,-0.00492277,-0.009655841,0.054930102,0.26320732,-0.041369017,0.072436325,-0.06310065,-0.16299115,0.033685047,0.18813168,-0.15460218,-0.05758664,0.29816294,-0.2711237,0.050953887,0.058800336,0.08759196,-0.1724597,ENSG00000094914
-0.03896607,-0.00470357,0.117174506,0.08050165,-0.28026497,-0.008528456,0.25153324,0.06917688,0.008609258,-0.18296233,0.103088744,-0.18312258,-0.08753103,0.04798756,0.19459113,0.19195177,0.27134258,0.11874071,-0.06818335,-0.004578106,-0.1422968,-0.18391345,-0.29031798,0.074808486,0.13360472,0.17140232,-0.26093617,0.17287213,-0.033629086,-0.16702375,0.045025352,-0.09316674,-0.077118896,-0.06633326,0.109875806,0.029160537,1.4793128e-05,0.023749458,-0.12937832,0.1297814,0.057320867,0.15710296,-0.13308792,-0.073894426,0.3456823,0.09197785,-0.16878936,0.31026098,0.3384319,-0.00067064026,0.11875002,0.21281287,0.09014225,0.03812122,-0.17468524,-0.12076991,0.08088492,-0.1425134,0.097183205,-0.15331118,-0.18535002,-0.008816563,0.1062534,-0.20484476,0.024752814,-0.0582916,-0.1643782,0.06985431,-0.08929813,0.04327213,-0.080575876,0.084433414,-0.047698304,0.06925258,-0.1724303,0.037301864,-0.17060623,-0.20301226,0.20229992,-0.15152182,0.20476574,0.08087597,-0.033525895,-0.010848682,0.07294435,0.2574812,-0.048377674,0.056091793,-0.04956039,-0.15718834,0.018829666,0.2063207,-0.18771401,-0.059124317,0.29275668,-0.24403939,0.05332751,0.028914895,0.10694775,-0.20277858,ENSG00000081760
-0.021245226,0.036488906,0.14067385,0.069406234,-0.30232897,-0.0067868903,0.22865821,0.07544249,0.006561259,-0.1459659,0.05784817,-0.15171917,-0.04997023,0.001918517,0.20304497,0.18513685,0.26391515,0.114755325,-0.015214486,0.035975598,-0.14628921,-0.20168658,-0.29230803,0.08474861,0.11982831,0.16736063,-0.23900025,0.15936658,-0.06533671,-0.1414881,0.035157908,-0.067741506,-0.07715969,-0.06922711,0.10235226,0.016039323,0.002783686,0.028318778,-0.11380205,0.18483342,0.052627604,0.12508632,-0.107148856,-0.07115679,0.35784736,0.13773388,-0.19169314,0.30445984,0.3599787,0.014722297,0.14225703,0.2058662,0.11373021,0.04863454,-0.1684,-0.13784629,0.07967733,-0.17656799,0.07607277,-0.15245491,-0.217008,0.0052218884,0.11368953,-0.20324326,0.06542982,-0.056613065,-0.16714895,0.06815642,-0.090881914,0.05253965,-0.05111392,0.048717007,-0.063519366,0.08427808,-0.14667675,0.07866661,-0.19128329,-0.18502288,0.22474594,-0.13019553,0.19030613,0.13990906,0.010231679,-0.008824855,0.039974704,0.26603693,-0.04983126,0.07336581,-0.055346787,-0.14606091,0.01873915,0.1766295,-0.15753332,-0.061602384,0.28061712,-0.25395384,0.049011137,0.09236641,0.08941399,-0.20541775,ENSG00000114771
-0.02406641,0.03775642,0.11194124,0.08166388,-0.29918483,-0.021612676,0.2163358,0.063585855,0.001958806,-0.14578159,0.07299435,-0.17115305,-0.047680616,0.013490811,0.24495223,0.20126063,0.24273929,0.14015937,-0.026294097,0.015889384,-0.15328127,-0.17242393,-0.28656158,0.08097814,0.12692039,0.16965203,-0.21942012,0.18712425,-0.06514867,-0.14046082,-0.007370595,-0.0763343,-0.10229774,-0.104671754,0.11206612,0.028170008,0.03471887,0.016338222,-0.104124814,0.15170583,0.048717532,0.11460169,-0.11614342,-0.06318238,0.3667671,0.13185626,-0.20687482,0.31584522,0.34249642,0.020799402,0.15356983,0.20414728,0.12179124,0.08092308,-0.17000218,-0.1418636,0.09570366,-0.18723239,0.06682746,-0.15427849,-0.20057018,-0.021688227,0.091668375,-0.17778213,0.06638098,-0.069771774,-0.16747797,0.058062613,-0.10237252,0.034588955,-0.0753043,0.051719543,-0.03655384,0.085264385,-0.14914556,0.090274625,-0.17020518,-0.1854088,0.20110938,-0.14784479,0.22273305,0.13957393,-0.009710193,0.0135256015,0.040780615,0.25518036,-0.052775666,0.049525153,-0.070782915,-0.1890065,0.0047499016,0.23022218,-0.1562156,-0.042279013,0.25874272,-0.2517249,0.040427145,0.0516922,0.10632619,-0.19739223,ENSG00000109576
