logit_0,logit_1,logit_2,logit_3,logit_4,logit_5,logit_6,logit_7,logit_8,logit_9,logit_10,logit_11,logit_12,logit_13,logit_14,logit_15,logit_16,logit_17,logit_18,logit_19,logit_20,logit_21,logit_22,logit_23,logit_24,logit_25,logit_26,logit_27,logit_28,logit_29,logit_30,logit_31,logit_32,logit_33,logit_34,logit_35,logit_36,logit_37,logit_38,logit_39,logit_40,logit_41,logit_42,logit_43,logit_44,logit_45,logit_46,logit_47,logit_48,logit_49,logit_50,logit_51,logit_52,logit_53,logit_54,logit_55,logit_56,logit_57,logit_58,logit_59,logit_60,logit_61,logit_62,logit_63,logit_64,logit_65,logit_66,logit_67,logit_68,logit_69,logit_70,logit_71,logit_72,logit_73,logit_74,logit_75,logit_76,logit_77,logit_78,logit_79,logit_80,logit_81,logit_82,logit_83,logit_84,logit_85,logit_86,logit_87,logit_88,logit_89,logit_90,logit_91,logit_92,logit_93,logit_94,logit_95,logit_96,logit_97,logit_98,logit_99,EnsemblGeneID
0.15120319,0.035567593,0.08316134,-0.08554033,0.0891155,0.21583638,0.2879396,0.08365141,0.23584838,0.037772864,0.06038864,-0.111574106,-0.04005925,-0.33809116,0.055069868,0.15064362,0.014073007,0.093300276,-0.09804302,0.030373119,0.17152382,-0.018748574,0.0055396035,0.08356171,-0.029405855,0.06894358,-0.14993066,-0.10112047,0.076972656,-0.14271466,0.08704011,0.11992736,-0.066462904,-0.037949156,-0.028829142,0.15316664,-0.06110955,-0.06943927,0.1201901,-0.10136917,0.21212769,0.017771477,-0.058057815,0.08578366,0.028610766,-0.05906611,0.098839775,-0.13427715,-0.20996669,0.059076518,-0.18394487,0.021290729,-0.01617159,-0.061320513,-0.32682437,-0.21299759,-0.18160635,0.14538762,0.20159927,-0.33230707,0.085663594,0.090098925,0.14483665,0.084874764,0.20816374,0.020292832,0.14298262,0.170544,0.0945163,-0.12018061,-0.22441697,0.04243723,-0.086440355,-0.09438975,-0.0762166,0.15847778,0.068108484,-0.14615087,0.11311936,-0.13618243,-0.0745509,0.26276857,0.07420116,0.048199035,0.049713895,0.46020615,0.06515473,0.15001303,-0.14820103,0.08032841,-0.029787442,0.19100857,0.10776967,0.08139899,-0.106001146,0.0006771758,0.05512228,-0.20057271,0.24628748,0.13110997,ENSG00000121410
0.17019065,0.009237684,0.062362134,-0.08915963,0.12684518,0.22123098,0.28633118,0.07408121,0.22489104,0.046584465,0.046871834,-0.107744075,-0.089955896,-0.31656864,0.060990762,0.15199809,0.032707825,0.07713054,-0.099510916,0.047131613,0.19642529,-0.034869403,0.006140262,0.074739695,-0.028992143,0.069300376,-0.1741569,-0.051208377,0.11923185,-0.1482273,0.08656491,0.083910756,-0.07858843,-0.053688165,-0.013219617,0.1600655,-0.05528585,-0.05325145,0.111866,-0.12354331,0.20989735,0.007537011,-0.071947,0.116101116,0.012810603,-0.058611967,0.099776246,-0.13590232,-0.20036504,0.07552531,-0.20126303,-0.0006112745,-0.02618517,-0.06772248,-0.30306146,-0.20168045,-0.18204832,0.12350734,0.21024288,-0.33769825,0.06501697,0.08094239,0.14155123,0.0560669,0.24480897,0.02913139,0.13740075,0.16513866,0.09078775,-0.11350547,-0.19589664,0.033079486,-0.022308346,-0.040908717,-0.08894473,0.16484776,0.033584327,-0.19329196,0.098069005,-0.14642246,-0.09781768,0.25720075,0.05790808,0.038799427,0.053372797,0.39797863,0.043018915,0.13236375,-0.13985035,0.08741269,-0.0031431392,0.20040777,0.12208758,0.09203712,-0.09711811,0.06343722,0.04384278,-0.19736098,0.27041978,0.15968846,ENSG00000148584
0.16847198,0.029650226,0.09234479,-0.09315613,0.10770975,0.24165978,0.2681039,0.07677978,0.24293554,0.04076973,0.033877335,-0.1131986,-0.08036591,-0.28944016,0.08534557,0.1806014,0.009629304,0.09431343,-0.11516242,0.038381565,0.18341386,-0.047667623,-0.01368754,0.08723675,-0.010889599,0.07975234,-0.17486593,-0.069428876,0.08152795,-0.14100064,0.08456518,0.07315734,-0.06468109,-0.021936,-0.005421564,0.16263415,-0.021090273,-0.08724897,0.12029792,-0.12855071,0.23341247,0.012361221,-0.06372695,0.11629294,0.022746831,-0.053102117,0.082332715,-0.12154918,-0.2067174,0.0659623,-0.20041789,0.022396272,-0.028784141,-0.045975376,-0.3302641,-0.21647249,-0.18571405,0.13708666,0.19425973,-0.34242117,0.073674016,0.077424854,0.16053326,0.05123126,0.23060139,0.023942076,0.08994636,0.16101553,0.09043916,-0.14317364,-0.20712486,0.04909258,-0.049216975,-0.05012953,-0.0837562,0.141775,0.08883867,-0.16528422,0.11195567,-0.13838516,-0.068065785,0.25699177,0.065576255,0.07010339,0.037358493,0.43170726,0.055235885,0.15231377,-0.10774953,0.0881906,-0.0013395399,0.19536944,0.12088206,0.07185679,-0.10363415,0.03428361,0.060404062,-0.18395896,0.22428691,0.13875867,ENSG00000175899
0.16124165,0.031955246,0.09006292,-0.08927384,0.101382,0.23727898,0.26990882,0.07723433,0.23868695,0.04025256,0.036107264,-0.11975905,-0.06950334,-0.29319146,0.09080322,0.1789747,0.011955494,0.095693134,-0.11511941,0.045356892,0.17491917,-0.047687385,-0.006378576,0.08402871,-0.008566688,0.077604495,-0.17410609,-0.06398671,0.07691821,-0.13326639,0.08061378,0.07890772,-0.062152453,-0.024135254,-0.018712714,0.16907132,-0.018543627,-0.07826845,0.11782205,-0.11889297,0.23540415,0.0026844963,-0.06368372,0.12012639,0.030282775,-0.045420304,0.07890119,-0.12621601,-0.20608367,0.06920481,-0.20732099,0.021454785,-0.026482154,-0.048779726,-0.32716748,-0.21733102,-0.17282607,0.1363838,0.18412888,-0.3393684,0.07268626,0.07561747,0.16128646,0.062243327,0.22779395,0.019209888,0.0979603,0.15118319,0.097289816,-0.13986841,-0.20087487,0.053281672,-0.05721689,-0.046319775,-0.08368043,0.14308347,0.09097469,-0.16059183,0.11290174,-0.13694018,-0.0652348,0.25458512,0.06156485,0.07418523,0.039781723,0.4353986,0.060667314,0.15137377,-0.10675448,0.08759463,-0.009852063,0.19788854,0.115624726,0.081304684,-0.1067452,0.03457499,0.067916706,-0.18130162,0.23048586,0.14620753,ENSG00000166535
0.16196297,0.011804171,0.09998994,-0.10502043,0.11440091,0.21744707,0.2857575,0.067268044,0.21099532,0.06483627,0.024477191,-0.093019456,-0.06608076,-0.3167703,0.061253294,0.16438161,0.012691654,0.07690011,-0.10366812,0.040103354,0.17956303,-0.015274579,0.013793819,0.091840774,-0.0047332067,0.08685103,-0.14430189,-0.058494937,0.1161673,-0.15976179,0.091640525,0.11077233,-0.052689172,-0.053319804,-0.011245247,0.15670972,-0.036565736,-0.086833864,0.1416726,-0.13094442,0.18824548,0.044720143,-0.068095125,0.12576342,0.025482481,-0.079757065,0.10849421,-0.12145651,-0.19821613,0.07969318,-0.21082355,0.0189958,-0.0005980544,-0.04689916,-0.3105048,-0.20556192,-0.1670024,0.14265576,0.21332005,-0.34964335,0.06947132,0.10301414,0.14884071,0.07966802,0.2328668,0.04038243,0.11690941,0.16184422,0.087451294,-0.110738516,-0.21705586,0.047130194,-0.06803476,-0.067121886,-0.08832855,0.15181069,0.054781657,-0.17117661,0.115118995,-0.15007564,-0.10944508,0.2356463,0.045855347,0.050326034,0.043864578,0.44024765,0.0607771,0.13447216,-0.13992622,0.084000304,-0.012912504,0.2036816,0.14856546,0.08880496,-0.11611256,0.024924219,0.04831712,-0.17832159,0.24256796,0.13145143,ENSG00000128274
0.16814674,0.029427651,0.06733427,-0.09853618,0.13140668,0.23371911,0.26911646,0.085284874,0.21422066,0.06405501,0.013211705,-0.109653234,-0.058620855,-0.33076325,0.070847005,0.15548114,0.0067199394,0.06493268,-0.10786893,0.041842844,0.16406977,-0.00059935264,0.0049296916,0.10077495,-0.023226976,0.07324324,-0.1713438,-0.058359623,0.11813236,-0.11305977,0.088668145,0.112148926,-0.054209717,-0.034480684,-0.032118183,0.15255617,-0.031650152,-0.06958768,0.15133283,-0.13310473,0.16187467,0.029837837,-0.09510155,0.103117876,0.0357083,-0.08801374,0.1032359,-0.12782855,-0.20388533,0.07296271,-0.22046618,-0.00053992495,-0.0106117055,-0.05178032,-0.3112167,-0.22936147,-0.16276762,0.13881254,0.18976837,-0.33799997,0.063282326,0.10650788,0.1623834,0.077016264,0.22073711,0.03446466,0.1112503,0.14345837,0.095440485,-0.11509858,-0.20836098,0.040101618,-0.06433435,-0.07802985,-0.089313306,0.15747333,0.058244966,-0.16358049,0.12095815,-0.13081351,-0.10765023,0.22581454,0.033841006,0.051380932,0.052301142,0.44234475,0.074049585,0.12526418,-0.13643932,0.083019964,-0.008103726,0.20898631,0.12911487,0.08577649,-0.09555003,0.029406726,0.059578963,-0.19612253,0.24446872,0.15868585,ENSG00000118017
0.17280294,-0.002803985,0.0901462,-0.11254189,0.10655132,0.21955909,0.2869901,0.073776945,0.20443718,0.069153935,0.02796626,-0.09671151,-0.07771692,-0.341814,0.06363828,0.17937733,0.048433915,0.07618545,-0.10620105,0.04555385,0.1881832,-0.018899636,0.028954916,0.079923466,-0.017055178,0.0650196,-0.15007372,-0.05690573,0.10397929,-0.15515935,0.08169452,0.10944028,-0.080001354,-0.06210068,0.012098119,0.12499115,-0.059005477,-0.076485515,0.16297072,-0.12562476,0.21957046,0.012885183,-0.05058509,0.12666357,0.018910134,-0.06775191,0.1217329,-0.13368262,-0.19606662,0.07981259,-0.2388118,0.022922255,0.018586714,-0.07150307,-0.31652254,-0.19957024,-0.17101969,0.14982706,0.21762426,-0.34598386,0.07034661,0.084000304,0.14398302,0.08491082,0.23279193,0.038724855,0.1293432,0.15976706,0.095495045,-0.062723145,-0.20947313,0.025295537,-0.055180773,-0.05601671,-0.094694845,0.16021866,0.030701645,-0.18933222,0.116490774,-0.14021868,-0.10493578,0.24169007,0.060006384,0.050017286,0.061938588,0.40665838,0.053893723,0.12292983,-0.14567363,0.08550081,-0.028481841,0.186772,0.13830097,0.086683795,-0.093237616,0.026043821,0.052062776,-0.17558543,0.26456457,0.13396735,ENSG00000094914
0.17384209,0.005141221,0.10731684,-0.10458418,0.10853889,0.21896814,0.28945854,0.06359657,0.22345677,0.026946485,0.028079141,-0.0961709,-0.12784697,-0.31834227,0.08682801,0.1906333,0.030630525,0.08744024,-0.11465442,0.059176773,0.21109432,-0.05243598,0.034719467,0.07413897,0.004905592,0.06827992,-0.12987724,-0.055121012,0.14168009,-0.20370232,0.09059691,0.11184162,-0.09599996,-0.09355545,0.012512468,0.14381665,-0.019963613,-0.09204202,0.10466613,-0.15185744,0.16373713,-0.0010872222,-0.02031516,0.1373767,0.02128546,-0.052461304,0.10030046,-0.12086242,-0.19497646,0.093308344,-0.18733078,0.031152762,-0.04973642,-0.10008579,-0.291372,-0.18666096,-0.17433682,0.15944202,0.2621189,-0.33404243,0.044559248,0.08910793,0.11168137,0.027557319,0.24678682,0.017558176,0.11539936,0.15136218,0.0673198,-0.09722158,-0.21138865,0.024335776,-0.06467645,-0.047064118,-0.07487539,0.14951639,0.053918723,-0.17360143,0.09028387,-0.19944395,-0.07743762,0.23689859,0.057746626,0.019922985,0.074911684,0.41091788,0.06671183,0.100949526,-0.11892369,0.07040783,0.040420312,0.19996367,0.13590845,0.10809786,-0.11429353,0.008946545,0.035150938,-0.16504413,0.27307025,0.13775107,ENSG00000081760
0.15408264,0.029753482,0.071721524,-0.09859393,0.13137908,0.22514275,0.27532378,0.08301632,0.20525858,0.050313234,0.02856107,-0.11185406,-0.09024461,-0.29869583,0.06988625,0.1533125,0.003819786,0.10480782,-0.10816088,0.029940482,0.17688961,-0.014279997,0.02161356,0.11414355,-0.032016262,0.106408894,-0.16981383,-0.05544348,0.123526886,-0.13377264,0.07563045,0.09555925,-0.053954758,-0.04482244,-0.017098997,0.12625884,-0.037409864,-0.08124316,0.10363358,-0.13465571,0.20234317,0.022915607,-0.074851364,0.11716152,0.042597935,-0.08496398,0.10653125,-0.108741246,-0.19275333,0.07538833,-0.21101746,-0.0013837479,-0.022814099,-0.06263473,-0.3038649,-0.2041958,-0.18125376,0.11033513,0.21573192,-0.34642512,0.07386079,0.08512956,0.14467135,0.073932685,0.229467,0.04341039,0.09763892,0.1626062,0.096962586,-0.13319379,-0.1989035,0.038133897,-0.021132518,-0.0483012,-0.11626123,0.15862921,0.045868788,-0.15753268,0.09833194,-0.15311813,-0.10964878,0.22313437,0.046799242,0.047690533,0.030362658,0.44126007,0.051275738,0.12650579,-0.11884031,0.096145354,0.037080918,0.18535163,0.11487875,0.100198686,-0.09468785,0.051906347,0.043191012,-0.1962431,0.24640588,0.16235626,ENSG00000114771
0.17286389,0.0025274511,0.06598363,-0.10750146,0.13238664,0.20597173,0.24288565,0.040178657,0.21947528,0.018755782,0.021815084,-0.0993678,-0.09889718,-0.30356184,0.11071043,0.15720886,0.02085518,0.09625548,-0.11954379,0.069040954,0.1992129,-0.05107961,-0.0044812337,0.06308672,-0.00040310388,0.055397313,-0.16597414,-0.00957671,0.10825979,-0.14845628,0.070251614,0.082998864,-0.08501175,-0.042730987,-0.028881777,0.17717327,-0.02560986,-0.11018836,0.11784671,-0.121777356,0.21414575,-0.02953745,-0.053699642,0.12254201,0.044831432,-0.094754115,0.0884487,-0.13545744,-0.19898626,0.10235125,-0.19763668,-0.006871478,-0.054565545,-0.04544245,-0.31703717,-0.230408,-0.16537425,0.11832002,0.21748257,-0.31507665,0.06643816,0.039167188,0.11429064,0.062132526,0.23308302,0.03283171,0.13278675,0.14309229,0.09667842,-0.11685,-0.21176644,0.016179383,-0.01584182,-0.04023553,-0.09557798,0.16842276,0.06526229,-0.19573537,0.08206461,-0.14048871,-0.07803379,0.2418336,0.03322921,0.025955983,0.031739984,0.4221134,0.04066626,0.10798425,-0.11795822,0.11853819,0.027567483,0.18142633,0.10668597,0.08323873,-0.12551993,0.046180673,0.02767016,-0.16838846,0.24093372,0.17093205,ENSG00000109576
